slot,archetype_id,weapon_family,chassis,armor,speed_level,power_level,equipment,danger_marker
0,normal_a,normal,scout,1,-1,0,none,no
1,normal_b,normal,scout,1,-1,1,amphi_tank,no
2,normal_c,normal,scout,1,0,1,none,no
3,normal_d,normal,scout,1,0,2,shield_of_moon,no
4,rapid_a,rapid,scout,1,1,0,none,no
5,rapid_b,rapid,scout,1,1,1,anti_skid,no
6,rapid_c,rapid,standard,2,2,2,none,no
7,rapid_d,rapid,standard,2,2,3,memory_of_sea,yes
8,fire_a,fire,standard,2,-1,0,none,no
9,fire_b,fire,standard,2,-1,1,none,no
10,fire_c,fire,armored,3,0,2,none,no
11,fire_d,fire,armored,3,0,3,shield_of_moon,yes
12,ap_a,ap,heavy,5,-4,0,none,no
13,ap_b,ap,heavy,5,-3,1,none,no
14,ap_c,ap,heavy,6,-4,1,none,no
15,ap_d,ap,heavy,6,-3,2,amphi_tank,no
16,explosion_a,explosion,armored,3,-1,0,none,no
17,explosion_b,explosion,armored,3,-1,1,amphi_tank,no
18,explosion_c,explosion,armored,4,-2,2,none,no
19,explosion_d,explosion,armored,4,-2,3,anti_skid,yes
20,mine_a,mine,standard,2,-1,0,none,no
21,mine_b,mine,standard,2,-1,1,anti_skid,no
22,mine_c,mine,standard,2,0,1,none,no
23,mine_d,mine,standard,2,0,2,memory_of_sea,no
