record,candidate_original_stage,caption,background,background_color_bgr,stage_header_132_143_hex,total_enemies,max_simultaneous,unknown_212,stage_intro,enemy_00,enemy_01,enemy_02,enemy_03,enemy_04,enemy_05,enemy_06,enemy_07,enemy_08,enemy_09,enemy_10,enemy_11,enemy_12,enemy_13,enemy_14,enemy_15,enemy_16,enemy_17,enemy_18,enemy_19,enemy_20,enemy_21,enemy_22,enemy_23
62,1,Maze Of Desert,BG04.jpg,0x00102028,010100000000000000000000,74,23,3,SI08.JPG,2,1,14,1,9,1,5,2,4,2,4,2,7,1,3,1,3,2,3,2,1,1,2,1
63,2,Hidden in Grass,BG_Green_D.JPG,0x00000040,010100000000000000000000,70,20,3,SI07.JPG,3,2,5,2,5,1,5,1,11,0,1,0,2,5,3,5,1,1,2,1,11,1,2,0
64,3,Go to LuGou Brige,BG01.jpg,0x00000040,010100000000000000000000,56,20,3,CookieHelp.jpg,0,0,0,0,4,0,4,0,4,1,4,1,4,1,5,1,5,0,5,0,8,0,8,1
65,4,Tourist,BG02.jpg,0x00000000,010100000000000000000000,42,15,3,SI01.JPG,4,2,4,2,0,3,0,0,2,0,2,0,6,2,6,0,3,0,3,0,0,0,0,3
66,5,Go to LuGou Brige,BG_Blue_L.JPG,0x00000040,010100000000000000000000,60,22,3,,2,2,2,2,2,2,4,2,5,1,5,1,5,1,5,1,5,1,5,3,0,0,2,2
67,6,X,BG12.jpg,0x00000000,010100000000000000000000,75,22,3,SI04.JPG,3,3,3,3,3,3,3,3,3,3,3,3,2,5,4,4,3,3,3,3,3,3,3,3
68,7,Waterfall,BG11.jpg,0x00000000,010100000000000000000000,58,12,3,SI03.JPG,2,2,2,2,3,3,3,3,0,0,3,1,6,0,6,1,3,2,2,2,3,3,3,3
69,8,Frame,BG10.jpg,0x00000000,010100000000000000000000,49,14,3,SI02.JPG,2,2,2,4,2,3,2,4,1,1,1,1,4,1,4,1,2,3,2,1,1,2,1,2
70,9,Iron Zone,BG08.jpg,0x00000000,010100000000000000000000,67,10,3,SI01.JPG,2,0,2,0,6,1,6,1,4,1,4,2,7,1,7,1,3,2,3,2,6,2,2,2
71,10,Adornment,BG07.jpg,0x00000000,010100000000000000000000,58,11,3,SI00.JPG,1,1,1,1,2,2,2,2,4,1,4,2,5,3,5,3,3,1,3,2,3,2,3,2
72,11,No Treasure,BG_Green_L.jpg,0x00102028,010100000000000000000000,42,9,3,SI06.JPG,4,0,4,0,3,0,3,1,6,1,6,1,1,0,1,0,3,0,3,0,3,0,2,0
73,12,Room of Grid,BG11.jpg,0x00000000,010100000000000000000000,48,13,3,SI05.JPG,1,1,1,1,3,3,3,3,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,3
74,13,Snowflake,BG13.jpg,0x00000000,010100000000000000000000,63,12,3,SI04.JPG,1,1,1,1,7,2,7,3,4,2,4,3,2,0,2,0,7,2,7,3,1,1,1,1
75,14,Move Mark,BG_Yellow_D.jpg,0x00102028,010100000000000000000000,61,17,3,SI09.JPG,2,2,2,2,8,2,8,2,1,1,1,1,9,1,9,2,2,1,2,1,0,0,1,1
76,15,COM make easy,BG01.JPG,0x00000000,010100000000000000000000,61,17,3,SI06.jpg,8,4,8,4,7,0,7,0,2,0,1,0,7,0,7,0,2,0,1,0,2,0,1,0
77,16,Iron Wall,BG04.jpg,0x00102028,010100000000000000000000,100,15,3,SI08.JPG,1,1,1,1,12,12,12,12,4,0,4,0,4,1,4,1,6,3,6,3,3,3,3,3
78,17,River Zone,BG_Blue_L.jpg,0x00102028,010100000000000000000000,46,17,3,SI04.JPG,1,2,1,3,1,1,2,4,2,3,2,2,0,0,0,2,2,2,2,4,2,2,2,4
79,18,Golden Towner,BG_Yellow_D.jpg,0x00102028,010100000000000000000000,65,16,3,SI03.JPG,1,1,1,1,5,1,5,1,5,1,5,1,2,0,2,0,7,3,7,3,7,1,2,3
80,19,Gradational Pattern,BG10.jpg,0x00000000,010100000000000000000000,52,16,3,SI02.JPG,1,1,1,1,1,1,1,1,5,0,5,0,6,0,6,0,5,1,5,1,5,1,2,2
81,20,  MARIO / classical,BG_Blue_L.JPG,0x00000000,010100000000000000000000,60,16,3,SI07.jpg,6,3,6,3,15,1,15,1,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2
82,21,Simple Routeway,BG02.JPG,0x00000000,010100000000000000000000,38,14,3,SI04.jpg,6,3,6,3,4,2,4,2,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
83,22,Pinnacle Guide / ,BG06.jpg,0x00000000,010100000000000000000000,77,19,3,SI01.JPG,2,1,1,1,9,1,9,1,5,1,5,1,4,1,6,1,6,1,6,1,6,1,6,1
84,23,Dream of Heaven,BG03.jpg,0x00000040,010100000000000000000000,67,15,3,SI07.JPG,2,1,2,1,2,1,2,1,6,1,6,1,1,1,0,0,10,1,10,1,10,1,3,3
85,24,Love Deeply,BG_Blue_L.jpg,0x00102028,010100000000000000000000,42,12,3,SI06.JPG,3,1,3,1,3,1,3,1,2,1,3,2,4,0,4,0,2,3,2,1,1,0,1,0
86,25,Boxes,BG12.jpg,0x00000000,010100000000000000000000,81,15,3,SI5.JPG,2,2,2,2,3,1,3,2,3,2,4,2,4,2,4,2,4,2,8,4,8,3,8,4
